user_id,date,ctr,revenue,daily_users_num
1,2024-06-23,0.0,0.0,32891
1,2024-07-02,0.0,0.0,1186
4,2024-06-23,0.0,0.0,32891
4,2024-07-09,0.0,0.0,1202
4,2024-07-24,0.0,0.0,1152
5,2024-06-23,0.0,0.0,32891
5,2024-07-26,0.0,0.0,1175
7,2024-06-23,0.0,0.0,32891
7,2024-07-11,0.0,0.0,1113
8,2024-06-23,0.0,0.0,32891
8,2024-07-14,0.0,0.0,1216
8,2024-07-21,0.0,0.0,1128
10,2024-06-23,0.0,0.0,32891
10,2024-07-18,0.0,0.0,1139
10,2024-07-26,0.0,0.0,1175
11,2024-06-23,0.0,0.0,32891
11,2024-06-30,0.0,0.0,1188
11,2024-07-05,0.0,0.0,1164
11,2024-07-14,0.0,0.0,1216
11,2024-07-23,0.0,0.0,1146
12,2024-06-04,0.0,0.0,1216
12,2024-06-23,0.0,0.0,32891
16,2024-06-16,0.5,5.335,1163
16,2024-06-23,0.0,0.0,32891
16,2024-06-30,0.0,0.0,1188
16,2024-07-12,0.0,0.0,1161
17,2024-06-20,0.0,0.0,1200
17,2024-06-23,0.0,0.0,32891
18,2024-06-11,0.0,0.0,1162
18,2024-06-23,0.0,0.0,32891
18,2024-06-24,0.0,0.0,1097
19,2024-06-23,0.0,0.0,32891
19,2024-07-09,0.0,0.0,1202
19,2024-07-10,0.0,0.0,1106
20,2024-06-15,0.0,0.0,1155
20,2024-06-23,0.0,0.0,32891
20,2024-07-06,0.0,0.0,1133
20,2024-07-12,0.0,0.0,1161
24,2024-06-23,0.0,0.0,32891
24,2024-07-12,0.0,0.0,1161
28,2024-06-23,0.0,0.0,32891
28,2024-07-24,0.0,0.0,1152
31,2024-06-23,0.0,0.0,32891
31,2024-07-05,0.0,0.0,1164
31,2024-07-10,0.0,0.0,1106
31,2024-07-24,0.0,0.0,1152
32,2024-06-08,0.0,0.0,1181
32,2024-06-23,0.0,0.0,32891
35,2024-06-23,0.0,0.0,32891
35,2024-07-07,0.0,0.0,1115
37,2024-06-01,0.0,0.0,1189
37,2024-06-20,0.0,0.0,1200
37,2024-06-22,0.0,0.0,1180
37,2024-06-23,0.0,0.0,32891
37,2024-07-16,0.0,0.0,1186
43,2024-06-19,0.0,0.0,1181
43,2024-06-23,0.0,0.0,32891
43,2024-07-14,0.0,0.0,1216
44,2024-06-15,0.0,0.0,1155
44,2024-06-23,0.0,0.0,32891
44,2024-07-14,0.0,0.0,1216
44,2024-07-23,0.0,0.0,1146
44,2024-07-25,0.0,0.0,1195
46,2024-06-19,0.0,0.0,1181
46,2024-06-20,0.0,0.0,1200
46,2024-06-23,0.0,0.0,32891
59,2024-06-23,0.5,7.69,32891
59,2024-07-08,0.0,0.0,1237
61,2024-06-10,0.0,0.0,1144
61,2024-06-23,0.0,0.0,32891
61,2024-07-16,0.0,0.0,1186
63,2024-06-23,0.0,0.0,32891
63,2024-07-03,0.0,0.0,1171
63,2024-07-22,0.0,0.0,1161
65,2024-06-21,0.0,0.0,1184
65,2024-06-23,0.0,0.0,32891
65,2024-06-26,0.0,0.0,1147
66,2024-06-23,0.0,0.0,32891
66,2024-07-01,0.0,0.0,1141
66,2024-07-12,0.0,0.0,1161
67,2024-06-23,0.0,0.0,32891
67,2024-07-03,0.0,0.0,1171
67,2024-07-21,0.0,0.0,1128
67,2024-07-24,0.0,0.0,1152
67,2024-07-25,0.0,0.0,1195
69,2024-06-04,0.0,0.0,1216
69,2024-06-08,0.0,0.0,1181
69,2024-06-23,0.0,0.0,32891
69,2024-07-18,0.0,0.0,1139
69,2024-07-19,0.0,0.0,1213
69,2024-07-20,0.0,0.0,1150
72,2024-06-15,0.0,0.0,1155
72,2024-06-23,0.0,0.0,32891
72,2024-06-24,0.0,0.0,1097
72,2024-07-04,0.0,0.0,1184
74,2024-06-23,0.0,0.0,32891
74,2024-07-11,0.0,0.0,1113
74,2024-07-28,0.0,0.0,1197
77,2024-06-23,0.5,2.47,32891
77,2024-07-14,0.0,0.0,1216
79,2024-06-09,0.0,0.0,1171
79,2024-06-23,0.0,0.0,32891
79,2024-07-03,0.0,0.0,1171
79,2024-07-13,0.0,0.0,1188
79,2024-07-23,0.0,0.0,1146
82,2024-06-13,0.0,0.0,1130
82,2024-06-23,0.0,0.0,32891
82,2024-06-29,0.0,0.0,1170
82,2024-07-01,0.0,0.0,1141
87,2024-06-02,0.0,0.0,1176
87,2024-06-23,0.0,0.0,32891
87,2024-07-28,0.0,0.0,1197
89,2024-06-23,0.0,0.0,32891
89,2024-07-18,0.0,0.0,1139
91,2024-06-11,0.0,0.0,1162
91,2024-06-23,0.0,0.0,32891
91,2024-07-08,0.0,0.0,1237
95,2024-06-06,0.0,0.0,1193
95,2024-06-23,0.0,0.0,32891
95,2024-07-03,0.0,0.0,1171
95,2024-07-20,0.0,0.0,1150
96,2024-06-23,0.0,0.0,32891
96,2024-07-01,0.0,0.0,1141
97,2024-06-23,0.0,0.0,32891
97,2024-07-04,0.0,0.0,1184
97,2024-07-13,0.0,0.0,1188
103,2024-06-13,0.0,0.0,1130
103,2024-06-23,0.0,0.0,32891
104,2024-06-23,0.0,0.0,32891
104,2024-07-13,0.0,0.0,1188
106,2024-06-23,0.0,0.0,32891
106,2024-07-09,0.0,0.0,1202
107,2024-06-23,0.0,0.0,32891
107,2024-07-09,0.0,0.0,1202
110,2024-06-07,0.0,0.0,1217
110,2024-06-15,0.0,0.0,1155
110,2024-06-19,0.0,0.0,1181
110,2024-06-23,0.0,0.0,32891
110,2024-07-14,0.0,0.0,1216
110,2024-07-18,0.0,0.0,1139
115,2024-06-23,0.0,0.0,32891
115,2024-07-03,0.0,0.0,1171
118,2024-06-23,0.0,0.0,32891
118,2024-07-01,0.0,0.0,1141
119,2024-06-01,0.0,0.0,1189
119,2024-06-23,0.0,0.0,32891
121,2024-06-19,0.0,0.0,1181
121,2024-06-23,0.0,0.0,32891
121,2024-07-14,0.0,0.0,1216
124,2024-06-02,0.0,0.0,1176
124,2024-06-23,0.0,0.0,32891
124,2024-07-29,0.0,0.0,1176
125,2024-06-02,0.0,0.0,1176
125,2024-06-23,0.0,0.0,32891
126,2024-06-01,0.0,0.0,1189
126,2024-06-20,0.0,0.0,1200
126,2024-06-23,0.0,0.0,32891
126,2024-07-01,0.0,0.0,1141
126,2024-07-08,0.0,0.0,1237
126,2024-07-10,0.0,0.0,1106
126,2024-07-27,0.0,0.0,1182
127,2024-06-13,0.0,0.0,1130
127,2024-06-23,0.0,0.0,32891
127,2024-07-01,0.0,0.0,1141
127,2024-07-13,0.0,0.0,1188
131,2024-06-23,0.0,0.0,32891
131,2024-07-17,0.0,0.0,1166
131,2024-07-26,0.0,0.0,1175
132,2024-06-23,0.0,0.0,32891
132,2024-06-25,0.0,0.0,1145
134,2024-06-23,0.0,0.0,32891
134,2024-06-28,0.0,0.0,1137
134,2024-07-12,0.0,0.0,1161
136,2024-06-03,0.0,0.0,1108
136,2024-06-23,0.0,0.0,32891
136,2024-07-24,0.0,0.0,1152
137,2024-06-12,0.0,0.0,1229
137,2024-06-23,0.0,0.0,32891
137,2024-07-06,0.0,0.0,1133
137,2024-07-24,0.0,0.0,1152
137,2024-07-25,0.0,0.0,1195
139,2024-06-01,0.0,0.0,1189
139,2024-06-23,0.0,0.0,32891
139,2024-07-04,0.0,0.0,1184
140,2024-06-23,0.0,0.0,32891
140,2024-07-22,0.0,0.0,1161
141,2024-06-23,0.0,0.0,32891
141,2024-07-06,0.0,0.0,1133
146,2024-06-18,0.0,0.0,1106
146,2024-06-23,0.0,0.0,32891
146,2024-07-01,0.0,0.0,1141
146,2024-07-06,0.0,0.0,1133
146,2024-07-07,0.0,0.0,1115
148,2024-06-23,0.0,0.0,32891
148,2024-07-15,0.5,5.33,1173
149,2024-06-11,0.0,0.0,1162
149,2024-06-22,0.0,0.0,1180
149,2024-06-23,0.0,0.0,32891
149,2024-06-26,0.0,0.0,1147
149,2024-07-04,0.0,0.0,1184
154,2024-06-09,0.0,0.0,1171
154,2024-06-23,0.0,0.0,32891
154,2024-07-13,0.0,0.0,1188
154,2024-07-14,0.0,0.0,1216
155,2024-06-16,0.0,0.0,1163
155,2024-06-23,0.0,0.0,32891
155,2024-07-27,0.0,0.0,1182
157,2024-06-23,0.0,0.0,32891
157,2024-07-28,0.0,0.0,1197
159,2024-06-23,0.0,0.0,32891
159,2024-07-22,0.0,0.0,1161
162,2024-06-23,0.0,0.0,32891
162,2024-06-25,0.0,0.0,1145
163,2024-06-10,0.0,0.0,1144
